"o.sites","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT","counted","count.j1","count.j2","count.j3","observer.j1","observer.j2","observer.j3","time.j1","time.j2","time.j3"
52,2017,7.2,0.6,-7.2,34.4,"yes",4,7,4,"tech.1","tech.3","tech.3",115,115,155
55,2017,19.2,0,-7.2,34.4,"yes",1,0,2,"tech.3","tech.4","tech.4",260,125,275
56,2017,19.2,0.5,-7.2,34.4,"yes",0,0,0,"tech.3","tech.4","tech.4",160,355,175
58,2017,20.6,3,-7.2,34.4,"yes",5,3,5,"tech.3","tech.2","tech.1",150,230,160
60,2017,10.2,3.1,-7.2,34.4,"yes",6,5,8,"tech.1","tech.3","tech.3",265,320,150
62,2017,17.2,1.9,-7.2,34.4,"yes",0,5,2,"tech.1","tech.4","tech.4",35,55,25
65,2017,23.8,0.1,-7.2,34.4,"yes",4,1,4,"tech.2","tech.4","tech.4",235,25,150
68,2017,17.5,3,-7.2,34.4,"yes",7,5,3,"tech.2","tech.4","tech.1",50,160,180
69,2017,5.4,0,-7.2,34.4,"yes",3,1,3,"tech.1","tech.1","tech.2",90,250,10
71,2017,12.3,5.4,-7.2,34.4,"yes",6,7,5,"tech.2","tech.4","tech.1",190,230,230
75,2017,14,8.1,-7.2,34.4,"yes",11,2,7,"tech.4","tech.2","tech.1",250,355,300
76,2017,14.7,2.6,-7.2,34.4,"yes",4,5,7,"tech.2","tech.4","tech.3",310,180,100
79,2017,14.3,14.4,-7.2,34.4,"yes",7,7,5,"tech.3","tech.2","tech.4",185,65,325
83,2017,25.3,1.6,-7.2,34.4,"yes",2,3,2,"tech.2","tech.2","tech.3",335,315,115
84,2017,5.8,8.9,-7.2,34.4,"yes",1,5,2,"tech.3","tech.2","tech.2",305,245,355
86,2017,7.1,1.3,-7.2,34.4,"yes",2,4,3,"tech.4","tech.2","tech.4",15,295,355
88,2017,20,6.5,-7.2,34.4,"yes",7,3,1,"tech.3","tech.1","tech.1",15,325,335
91,2017,17.5,2.4,-7.2,34.4,"yes",7,5,3,"tech.2","tech.3","tech.1",200,205,55
92,2017,24.1,5.1,-7.2,34.4,"yes",5,3,5,"tech.2","tech.3","tech.4",55,110,135
93,2017,11.8,5.1,-7.2,34.4,"yes",6,5,5,"tech.2","tech.4","tech.4",130,250,15
94,2017,9.9,2.7,-7.2,34.4,"yes",1,2,0,"tech.3","tech.2","tech.4",205,250,255
95,2017,19.3,5.8,-7.2,34.4,"yes",6,9,4,"tech.2","tech.3","tech.2",30,295,295
97,2017,14.1,12.2,-7.2,34.4,"yes",10,17,5,"tech.1","tech.1","tech.1",300,250,350
98,2017,1.2,0,-7.2,34.4,"yes",2,4,2,"tech.2","tech.3","tech.1",340,245,275
100,2017,18.1,1.8,-7.2,34.4,"yes",5,3,3,"tech.2","tech.4","tech.2",235,40,330
1,2018,8.5,2.9,-11.7,31.7,"yes",4,3,4,"tech.2","tech.4","tech.1",215,95,140
4,2018,20.7,0.8,-11.7,31.7,"yes",3,4,5,"tech.4","tech.3","tech.2",45,55,245
6,2018,27.3,3.8,-11.7,31.7,"yes",4,6,4,"tech.3","tech.4","tech.4",10,300,75
8,2018,9.3,2.7,-11.7,31.7,"yes",7,7,2,"tech.1","tech.4","tech.4",285,65,325
10,2018,13.4,5,-11.7,31.7,"yes",2,4,2,"tech.4","tech.4","tech.3",355,205,45
11,2018,8,6.6,-11.7,31.7,"yes",5,6,5,"tech.1","tech.2","tech.4",115,205,15
12,2018,13.2,13.9,-11.7,31.7,"yes",8,12,8,"tech.3","tech.3","tech.3",270,255,50
13,2018,12.3,7.9,-11.7,31.7,"yes",7,7,8,"tech.1","tech.3","tech.4",315,155,285
14,2018,10.4,12.8,-11.7,31.7,"yes",6,3,6,"tech.1","tech.2","tech.2",265,355,315
17,2018,12.7,5.2,-11.7,31.7,"yes",7,3,5,"tech.1","tech.3","tech.1",150,280,15
19,2018,16.8,2.2,-11.7,31.7,"yes",4,5,3,"tech.1","tech.2","tech.1",35,155,50
20,2018,6.3,0.3,-11.7,31.7,"yes",1,3,6,"tech.4","tech.4","tech.3",30,345,220
21,2018,11.3,5,-11.7,31.7,"yes",11,4,6,"tech.2","tech.4","tech.1",145,230,220
22,2018,9.8,0.1,-11.7,31.7,"yes",4,2,3,"tech.2","tech.3","tech.4",55,80,255
26,2018,15.1,2.4,-11.7,31.7,"yes",1,3,2,"tech.1","tech.4","tech.4",330,185,310
30,2018,9.1,1.3,-11.7,31.7,"yes",1,2,2,"tech.1","tech.1","tech.3",315,160,275
35,2018,13.4,0,-11.7,31.7,"yes",3,2,0,"tech.1","tech.4","tech.4",205,105,310
37,2018,10,2.5,-11.7,31.7,"yes",2,1,2,"tech.2","tech.2","tech.2",35,300,220
38,2018,6.4,0,-11.7,31.7,"yes",3,2,1,"tech.1","tech.2","tech.1",165,175,155
39,2018,10.8,0,-11.7,31.7,"yes",5,5,8,"tech.4","tech.1","tech.4",60,25,175
44,2018,13.6,9.7,-11.7,31.7,"yes",1,0,1,"tech.2","tech.3","tech.3",235,345,290
45,2018,6.2,2.9,-11.7,31.7,"yes",2,1,1,"tech.4","tech.1","tech.4",10,295,75
46,2018,6.8,0.9,-11.7,31.7,"yes",3,4,0,"tech.1","tech.4","tech.1",185,180,340
49,2018,9.3,17.9,-11.7,31.7,"yes",2,6,2,"tech.3","tech.4","tech.1",345,45,320
50,2018,20.1,3.8,-11.7,31.7,"yes",1,3,2,"tech.1","tech.3","tech.4",330,345,175
52,2018,6.5,0.5,-11.7,31.7,"yes",6,7,6,"tech.1","tech.4","tech.1",360,235,30
55,2018,0,0,-11.7,31.7,"yes",1,0,2,"tech.2","tech.2","tech.2",170,310,190
56,2018,13.5,0.3,-11.7,31.7,"yes",0,1,0,"tech.1","tech.3","tech.2",335,280,320
58,2018,19.4,1.5,-11.7,31.7,"yes",2,4,2,"tech.2","tech.1","tech.2",20,230,270
60,2018,9.4,2,-11.7,31.7,"yes",5,3,8,"tech.4","tech.1","tech.4",185,290,190
62,2018,18.7,0.8,-11.7,31.7,"yes",4,2,2,"tech.3","tech.2","tech.1",135,120,310
65,2018,18.7,0.4,-11.7,31.7,"yes",3,2,2,"tech.1","tech.1","tech.1",105,10,270
68,2018,14.5,4,-11.7,31.7,"yes",4,3,7,"tech.1","tech.3","tech.3",165,170,155
69,2018,14,0,-11.7,31.7,"yes",1,3,4,"tech.1","tech.3","tech.4",355,140,295
71,2018,9.4,3.6,-11.7,31.7,"yes",5,4,4,"tech.3","tech.3","tech.3",120,15,65
75,2018,14,6.9,-11.7,31.7,"yes",9,11,11,"tech.2","tech.2","tech.1",140,130,125
76,2018,16.2,3.1,-11.7,31.7,"yes",5,3,3,"tech.3","tech.1","tech.4",120,190,35
79,2018,13.6,16.4,-11.7,31.7,"yes",7,5,2,"tech.4","tech.2","tech.2",125,40,335
83,2018,20.5,1.2,-11.7,31.7,"yes",3,3,1,"tech.4","tech.3","tech.1",165,85,185
84,2018,6.1,9.4,-11.7,31.7,"yes",7,6,4,"tech.3","tech.2","tech.2",185,225,65
86,2018,3.6,2.7,-11.7,31.7,"yes",3,3,4,"tech.2","tech.1","tech.4",270,325,270
88,2018,16.4,6.3,-11.7,31.7,"yes",4,4,0,"tech.3","tech.3","tech.2",105,150,360
91,2018,15.2,6.9,-11.7,31.7,"yes",3,4,3,"tech.2","tech.3","tech.4",205,190,190
92,2018,19.3,7.1,-11.7,31.7,"yes",4,4,2,"tech.1","tech.1","tech.3",140,260,30
93,2018,11.3,5.5,-11.7,31.7,"yes",3,3,3,"tech.2","tech.2","tech.1",345,80,255
94,2018,11.6,5.9,-11.7,31.7,"yes",0,1,2,"tech.2","tech.1","tech.3",290,70,30
95,2018,13.7,8.4,-11.7,31.7,"yes",6,6,3,"tech.2","tech.1","tech.2",100,45,305
97,2018,14.1,12.4,-11.7,31.7,"yes",16,14,13,"tech.3","tech.1","tech.1",110,105,115
98,2018,16.6,0,-11.7,31.7,"yes",4,3,1,"tech.4","tech.3","tech.2",225,80,240
100,2018,15.5,3,-11.7,31.7,"yes",4,1,3,"tech.2","tech.3","tech.1",325,330,220
